mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1271845817565918,0.010771790136889914,0.007939434051513672,0.0014072318052818008,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9887640449438202,0.9213483146067416,0.9555555555555556,0.9534883720930233,0.9302325581395349,0.949877769067735,0.023483101368319624,1
0.2598133087158203,0.0060207845451609645,0.011679124832153321,0.001946571191850905,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9887640449438202,0.9213483146067416,0.9555555555555556,0.9534883720930233,0.9302325581395349,0.949877769067735,0.023483101368319624,1
0.37703900337219237,0.014313528050820118,0.015611553192138672,0.002783749178567227,,2,300,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 300}",0.9887640449438202,0.9213483146067416,0.9555555555555556,0.9534883720930233,0.9302325581395349,0.949877769067735,0.023483101368319624,1
0.12748751640319825,0.014129933256875877,0.00942697525024414,0.0012767623992013882,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9534883720930233,0.9195402298850575,0.9555555555555556,0.9411764705882353,0.9302325581395349,0.9399986372522813,0.013706207920320372,10
0.24505414962768554,0.01984022898080955,0.01026167869567871,0.0006039469608801621,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9534883720930233,0.9195402298850575,0.9555555555555556,0.9411764705882353,0.9302325581395349,0.9399986372522813,0.013706207920320372,10
0.3688333034515381,0.005023966031528537,0.01497950553894043,0.002307415011501135,,5,300,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 300}",0.9534883720930233,0.9195402298850575,0.9555555555555556,0.9411764705882353,0.9302325581395349,0.9399986372522813,0.013706207920320372,10
0.11644163131713867,0.0060771129910990014,0.0069503307342529295,0.0005873205890764883,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.9534883720930233,0.9195402298850575,0.9438202247191011,0.926829268292683,0.9302325581395349,0.9347821306258799,0.012230067718188386,19
0.24697842597961425,0.0055684998533972714,0.011436367034912109,0.0022186218021657796,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.9534883720930233,0.9195402298850575,0.9438202247191011,0.926829268292683,0.9302325581395349,0.9347821306258799,0.012230067718188386,19
0.35926337242126466,0.02260281812265583,0.017524194717407227,0.005588009899457222,,10,300,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 300}",0.9534883720930233,0.9195402298850575,0.9438202247191011,0.926829268292683,0.9302325581395349,0.9347821306258799,0.012230067718188386,19
0.117218017578125,0.008672104883946081,0.00735626220703125,0.0013755146756055474,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.9534883720930233,0.9195402298850575,0.9555555555555556,0.9534883720930233,0.9302325581395349,0.942461017553239,0.014761908743443632,7
0.2408755302429199,0.02640912014434665,0.012541532516479492,0.002811345104886501,5,2,200,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.9534883720930233,0.9195402298850575,0.9555555555555556,0.9534883720930233,0.9302325581395349,0.942461017553239,0.014761908743443632,7
0.36689023971557616,0.029771572192227463,0.01478719711303711,0.0022146764054561544,5,2,300,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 300}",0.9534883720930233,0.9195402298850575,0.9438202247191011,0.9534883720930233,0.9302325581395349,0.940113951385948,0.013359690635686105,9
0.13525757789611817,0.016025081514705573,0.009772396087646485,0.00245114822214953,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.9534883720930233,0.9195402298850575,0.9438202247191011,0.9411764705882353,0.9411764705882353,0.9398403535747306,0.011115513690019323,16
0.24810352325439453,0.021702092633028334,0.011534738540649413,0.0018261669371409548,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.9534883720930233,0.9195402298850575,0.9438202247191011,0.9411764705882353,0.9302325581395349,0.9376515710849904,0.011699093156983234,17
0.3605217933654785,0.03173796730318937,0.015228748321533203,0.002452145941788637,5,5,300,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.9534883720930233,0.9195402298850575,0.9438202247191011,0.9411764705882353,0.9302325581395349,0.9376515710849904,0.011699093156983234,17
0.1275920867919922,0.011806728610174542,0.006859302520751953,0.0012283787492825137,5,10,100,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.9534883720930233,0.9195402298850575,0.9438202247191011,0.926829268292683,0.9285714285714286,0.9344499047122587,0.012370894243098347,27
0.23570666313171387,0.014315894722718145,0.010295486450195313,0.0017500003131093742,5,10,200,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.9534883720930233,0.9195402298850575,0.9438202247191011,0.926829268292683,0.9302325581395349,0.9347821306258799,0.012230067718188386,19
0.34988908767700194,0.02046339115987574,0.013117408752441407,0.0012600875736245307,5,10,300,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.9534883720930233,0.9195402298850575,0.9438202247191011,0.926829268292683,0.9302325581395349,0.9347821306258799,0.012230067718188386,19
0.11954607963562011,0.006904683803501143,0.008587646484375,0.0020252005541647813,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9887640449438202,0.9213483146067416,0.9555555555555556,0.9534883720930233,0.9302325581395349,0.949877769067735,0.023483101368319624,1
0.23562984466552733,0.013515237803129477,0.012762832641601562,0.003245556545756193,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.9887640449438202,0.9213483146067416,0.9555555555555556,0.9534883720930233,0.9302325581395349,0.949877769067735,0.023483101368319624,1
0.35298619270324705,0.01850259955655763,0.015300798416137695,0.0029718738586959398,10,2,300,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 300}",0.9887640449438202,0.9213483146067416,0.9555555555555556,0.9534883720930233,0.9302325581395349,0.949877769067735,0.023483101368319624,1
0.12752995491027833,0.009012257840323595,0.009097957611083984,0.0012677224792758928,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.9534883720930233,0.9195402298850575,0.9555555555555556,0.9411764705882353,0.9302325581395349,0.9399986372522813,0.013706207920320372,10
0.24224381446838378,0.010899941349488228,0.00960397720336914,0.001084900621204031,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.9534883720930233,0.9195402298850575,0.9555555555555556,0.9411764705882353,0.9302325581395349,0.9399986372522813,0.013706207920320372,10
0.3287823677062988,0.012165143456156975,0.010123968124389648,0.0016290953684075366,10,5,300,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 300}",0.9534883720930233,0.9195402298850575,0.9555555555555556,0.9411764705882353,0.9302325581395349,0.9399986372522813,0.013706207920320372,10
0.11862578392028808,0.007469019907961418,0.008435821533203125,0.0013960566590684477,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.9534883720930233,0.9195402298850575,0.9438202247191011,0.926829268292683,0.9302325581395349,0.9347821306258799,0.012230067718188386,19
0.20955662727355956,0.007871805004006928,0.006390666961669922,0.0015420317830007642,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.9534883720930233,0.9195402298850575,0.9438202247191011,0.926829268292683,0.9302325581395349,0.9347821306258799,0.012230067718188386,19
0.24635000228881837,0.010225687900918727,0.006698465347290039,0.00032914641527712404,10,10,300,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 300}",0.9534883720930233,0.9195402298850575,0.9438202247191011,0.926829268292683,0.9302325581395349,0.9347821306258799,0.012230067718188386,19
